COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Industry,Temperature Band,Label,Temp_degC,FUEL_TYPE,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
PERKINS COUNTY,31135,1005476,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005476,450,Natural Gas (Weighted U.S. Average),623.6180512999999,623.6180512999999,0.031394873000000004,173227.3750540114,19.77481450388258,NG_Type
PHILLIPS,20147,1006936,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006936,233,Natural Gas (Weighted U.S. Average),302.5379874,302.5379874,0.015230703,84038.39706399721,9.59342432237411,NG_Type
PHILLIPS,20147,1006936,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006936,450,Natural Gas (Weighted U.S. Average),666.4012425000001,666.4012425000001,0.033548712,185111.60433916503,21.131461682553084,NG_Type
PIERCE COUNTY,31139,1005369,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1005369,233,Natural Gas (Weighted U.S. Average),502.7005201,502.7005201,0.025307508,139639.14507233782,15.94054167492441,NG_Type
PIERCE COUNTY,31139,1005369,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005369,450,Natural Gas (Weighted U.S. Average),1107.2997943999999,1107.2997943999999,0.055744916,307583.5222888432,35.11227423388621,NG_Type
PLATTE,31141,1002916,311221,311221,2015,NE,Wet Corn Milling,100-300 C,Wet Corn Milling_1002916,50,Natural Gas (Weighted U.S. Average),716.7457348429999,716.7457348429999,0.03608321,199096.19673321885,22.727876339408546,NG_Type
PLATTE,31141,1002916,311221,311221,2015,NE,Wet Corn Milling,100-300 C,Wet Corn Milling_1002916,149,Natural Gas (Weighted U.S. Average),1768.715761773,1768.715761773,0.0890425988,491310.32687378034,56.08565375271465,NG_Type
PRATT,20151,1011656,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1011656,233,Natural Gas (Weighted U.S. Average),312.5697798,312.5697798,0.015735735,86825.00829328441,9.911530627087261,NG_Type
PRATT,20151,1011656,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1011656,450,Natural Gas (Weighted U.S. Average),688.4982987000001,688.4982987000001,0.034661146000000004,191249.6804162886,21.832155298663086,NG_Type
RENO COUNTY,20155,1004961,322130,322130,2015,KS,Paperboard Mills,100-300 C,Paperboard Mills_1004961,150,Natural Gas (Weighted U.S. Average),143.07578502,143.07578502,0.00720288,39743.30541128556,4.536907010420727,NG_Type
RENO COUNTY,20155,1004961,322130,322130,2015,KS,Paperboard Mills,100-300 C,Paperboard Mills_1004961,200,Natural Gas (Weighted U.S. Average),38.09926279,38.09926279,0.001918035,10583.13701928062,1.2081206643014408,NG_Type
RENO COUNTY,20155,1004961,322130,322130,2015,KS,Paperboard Mills,100-300 C,Paperboard Mills_1004961,275,Natural Gas (Weighted U.S. Average),16.27237507,16.27237507,0.000819202,4520.10780219446,0.5159940413463996,NG_Type
RENO COUNTY,20155,1004961,322130,322130,2015,KS,Paperboard Mills,300-550 C,Paperboard Mills_1004961,505,Natural Gas (Weighted U.S. Average),176.4926835,176.4926835,0.008885191,49025.784637263,5.596550757678425,NG_Type
RENO COUNTY,20155,1004961,322130,322130,2015,KS,Paperboard Mills,550-850 C,Paperboard Mills_1004961,800,Natural Gas (Weighted U.S. Average),132.437121,132.437121,0.006667297,36788.118597138,4.199556917481506,NG_Type
RICE,20159,1002082,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002082,233,Natural Gas (Weighted U.S. Average)Other Biomass Gases,310.61743,310.61743,0.015637448,86282.68847054002,9.849621971522833,NG_TypeNG_Type
RICE,20159,1002082,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002082,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,684.1978525,686.1417107679999,0.034541048000000005,190595.0721337135,21.75742832576638,NG_TypeNG_Type
ROBERTS,46109,1002909,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002909,233,Natural Gas (Weighted U.S. Average),265.8138391,265.8138391,0.013381895,73837.2365975198,8.428908287388106,NG_Type
ROBERTS,46109,1002909,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002909,450,Natural Gas (Weighted U.S. Average),585.5088619,585.5088619,0.029476337999999998,162641.4806408582,18.566379068591118,NG_Type
ROGERS,40131,1002275,325311,325311,2015,OK,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1002275,260,Natural Gas (Weighted U.S. Average),6549.15534,6549.15534,0.32970485000000005,1819211.2720345203,207.67251963864385,NG_Type
ROGERS,40131,1002275,325311,325311,2015,OK,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1002275,850,Natural Gas (Weighted U.S. Average),12964.65445,12964.65445,0.65268103,3601295.7838121,411.10682463608447,NG_Type
RUSSELL COUNTY,20167,1006552,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006552,233,Natural Gas (Weighted U.S. Average),310.0141161,310.0141161,0.015607075,86115.10114202581,9.830490997948152,NG_Type
RUSSELL COUNTY,20167,1006552,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006552,450,Natural Gas (Weighted U.S. Average),682.8689314000001,682.8689314000001,0.034377746,189685.9660264292,21.653649089775023,NG_Type
SAUNDERS,31155,1012036,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1012036,233,Natural Gas (Weighted U.S. Average)Other Biomass Gases,142.6373505,142.6373505,0.007180808,39621.517947189,4.52300433187089,NG_TypeNG_Type
SAUNDERS,31155,1012036,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1012036,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,314.1876773,314.193366642,0.0158174671,87276.00499908149,9.963014269301539,NG_TypeNG_Type
SEDGWICK,20173,1001704,325181,325181,2015,KS,Alkalies and Chlorine,100-300 C,Alkalies and Chlorine_1001704,177,Natural Gas (Weighted U.S. Average),1352.35207049,1352.35207049,0.06808161,375653.65343657124,42.882837150293525,NG_Type
SEDGWICK COUNTY,20173,1005278,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1005278,233,Natural Gas (Weighted U.S. Average),45.56526725,45.56526725,0.002293897,12657.0288061705,1.444866302074258,NG_Type
SEDGWICK COUNTY,20173,1005278,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005278,450,Natural Gas (Weighted U.S. Average),100.36673732,100.36673732,0.005052774,27879.671559274964,3.1826109085930323,NG_Type
SEQUOYAH COUNTY,40135,1002397,327410,327410,2015,OK,Lime,100-300 C,Lime_1002397,120,Natural Gas (Weighted U.S. Average),0.0,0.0,0.0,0.0,0.0,NG_Type
SEQUOYAH COUNTY,40135,1002397,327410,327410,2015,OK,Lime,850+ C,Lime_1002397,1500,Natural Gas (Weighted U.S. Average),37.280908409999995,37.280908409999995,0.001876836,10355.81617631298,1.1821707963827603,NG_Type
SEWARD,20175,1006203,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006203,233,Natural Gas (Weighted U.S. Average),689.7556005,689.7556005,0.034724442,191598.93119568902,21.87202410909692,NG_Type
SEWARD,20175,1006203,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006203,450,Natural Gas (Weighted U.S. Average),1519.3265255000001,1519.3265255000001,0.076487623,422035.48360033904,48.17756662104327,NG_Type
SPINK COUNTY,46115,1001723,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1001723,233,Natural Gas (Weighted U.S. Average),436.1451293,436.1451293,0.021956902,121151.52172669541,13.830082388892171,NG_Type
SPINK COUNTY,46115,1001723,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1001723,450,Natural Gas (Weighted U.S. Average),960.698055,960.698055,0.048364529,266860.78432179,30.463559854085617,NG_Type
STEVENS,20189,1011661,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1011661,233,Natural Gas (Weighted U.S. Average),167.02576813099998,167.02576813099998,0.008408562,46396.08381989292,5.296356600444397,NG_Type
STEVENS,20189,1011661,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1011661,450,Natural Gas (Weighted U.S. Average),367.908110853,367.908110853,0.018521605999999996,102196.77921652464,11.666298997320165,NG_Type
TULSA,40143,1002026,324110,324110,2015,OK,Petroleum Refineries,100-300 C,Petroleum Refineries_1002026,220,Natural Gas (Weighted U.S. Average)Fuel Gas,1892.4522378000001,5590.7343535,0.302973961,1552983.0072465232,177.28116521079028,NG_TypeFuelGas_Type
TULSA,40143,1002026,324110,324110,2015,OK,Petroleum Refineries,550-850 C,Petroleum Refineries_1002026,600,Natural Gas (Weighted U.S. Average)Fuel Gas,3143.058786,3364.4592392,0.17066559399999998,934572.7585464977,106.68638796192896,NG_TypeFuelGas_Type
TULSA,40143,1002028,324110,324110,2015,OK,Petroleum Refineries,100-300 C,Petroleum Refineries_1002028,220,Natural Gas (Weighted U.S. Average)Fuel Gas,910.3583174999999,8776.444539723001,0.48760350799999996,2437903.211355176,278.2994533510475,NG_TypeFuelGas_Type
TULSA,40143,1002028,324110,324110,2015,OK,Petroleum Refineries,550-850 C,Petroleum Refineries_1002028,600,Natural Gas (Weighted U.S. Average)Fuel Gas,1511.958744,1982.867939152,0.102563817,550797.0904017643,62.87638018284981,NG_TypeFuelGas_Type
TULSA COUNTY,40143,1006052,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006052",150,Natural Gas (Weighted U.S. Average),558.6369653,558.6369653,0.028123522999999997,155177.05894710342,17.71427613551409,NG_Type
TULSA COUNTY,40143,1006052,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006052",200,Natural Gas (Weighted U.S. Average),115.3628227,115.3628227,0.005807723,32045.254163960602,3.658134036981804,NG_Type
TULSA COUNTY,40143,1006052,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006052",275,Natural Gas (Weighted U.S. Average),49.27200643,49.27200643,0.002480506,13686.67940211254,1.562406324442071,NG_Type
TULSA COUNTY,40143,1006052,322121,322121,2015,OK,"Paper Mills, except Newsprint",300-550 C,"Paper Mills, except Newsprint_1006052",505,Natural Gas (Weighted U.S. Average),534.411762,534.411762,0.02690395,148447.830424836,16.946099363565754,NG_Type
TULSA COUNTY,40143,1006052,322121,322121,2015,OK,"Paper Mills, except Newsprint",550-850 C,"Paper Mills, except Newsprint_1006052",800,Natural Gas (Weighted U.S. Average),653.0280005,653.0280005,0.032875461,181396.811922889,20.70739862133436,NG_Type
TURNER,46125,1004526,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004526,233,Natural Gas (Weighted U.S. Average)Landfill Gas,0.598586657,0.598586657,3.01e-05,166.274204408146,0.018981073562573746,NG_TypeNG_Type
TURNER,46125,1004526,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004526,450,Natural Gas (Weighted U.S. Average)Landfill Gas,1.318508447,12.687708753999999,0.000630387,3524.366362268612,0.40232492719961327,NG_TypeNG_Type
TURNER,46125,1004765,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004765,233,Natural Gas (Weighted U.S. Average),944.0727941,944.0727941,0.047527561,262242.6525995098,29.93637586752395,NG_Type
TURNER,46125,1004765,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004765,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,2079.5116952,2081.833627215,0.10480427,578287.5813005283,66.01456407540277,NG_TypeNG_Type
VALLEY COUNTY,31175,1005812,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005812,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,1571.019469,1577.3328548270001,0.07940319300000001,438148.3657481345,50.01693672923909,NG_TypeNG_Type
WASHINGTON,31177,1006425,311221,311221,2015,NE,Wet Corn Milling,100-300 C,Wet Corn Milling_1006425,50,Natural Gas (Weighted U.S. Average),2896.412866,2896.412866,0.145814433,804559.7730917481,91.844722955679,NG_Type
WASHINGTON,31177,1006425,311221,311221,2015,NE,Wet Corn Milling,100-300 C,Wet Corn Milling_1006425,149,Natural Gas (Weighted U.S. Average),7147.487370578,7147.487370578,0.35982674699999995,1985414.7468244159,226.6455190438831,NG_Type
WOODWARD COUNTY,40153,1005788,325311,325311,2015,OK,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1005788,260,Natural Gas (Weighted U.S. Average),1978.0234789,1978.0234789,0.099579855,549451.4059218842,62.72276323309181,NG_Type
WOODWARD COUNTY,40153,1005788,325311,325311,2015,OK,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1005788,850,Natural Gas (Weighted U.S. Average),3915.679132,3915.679132,0.197127467,1087689.5179286962,124.1654700831845,NG_Type
YORK,31185,1002073,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002073,233,Natural Gas (Weighted U.S. Average),946.272733,946.272733,0.047638313,262853.747227274,30.006135528227624,NG_Type
YORK,31185,1002073,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002073,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,2084.3575063,2085.43742756,0.10498664,579288.6377527617,66.12883992611435,NG_TypeNG_Type
