COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Industry,Temperature Band,Label,Temp_degC,FUEL_TYPE,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
CARTER COUNTY,40019,1007786,324110,324110,2015,OK,Petroleum Refineries,100-300 C,Petroleum Refineries_1007786,220,Fuel Gas,0.0,5886.001354800001,0.33056818899999996,1635001.6843336346,186.64402789196743,FuelGas_Type
CARTER COUNTY,40019,1007786,324110,324110,2015,OK,Petroleum Refineries,550-850 C,Petroleum Refineries_1007786,600,Fuel GasNatural Gas (Weighted U.S. Average),103.627007154,455.996925584,0.025006621,126665.91399487236,14.459579223158945,FuelGas_TypeNG_Type
CODINGTON COUNTY,46029,1005386,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1005386,233,Natural Gas (Weighted U.S. Average),1033.898611,1033.898611,0.052049672,287194.288366358,32.784736114881056,NG_Type
CODINGTON COUNTY,46029,1005386,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005386,450,Natural Gas (Weighted U.S. Average),2277.371264,2277.371264,0.114649953,632603.6349713921,72.21502682321827,NG_Type
COMANCHE COUNTY,40031,1001069,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1001069,150,Natural Gas (Weighted U.S. Average),325.6725331,325.6725331,0.016395368,90464.6648994518,10.327016541033313,NG_Type
COMANCHE COUNTY,40031,1001069,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1001069,200,Natural Gas (Weighted U.S. Average),86.72245564,86.72245564,0.004365878,24089.590282767924,2.749953228626475,NG_Type
COMANCHE COUNTY,40031,1001069,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1001069,275,Natural Gas (Weighted U.S. Average),37.03957038,37.03957038,0.001864687,10288.77778101564,1.1745180115314657,NG_Type
COMANCHE COUNTY,40031,1001069,322130,322130,2015,OK,Paperboard Mills,300-550 C,Paperboard Mills_1001069,505,Natural Gas (Weighted U.S. Average),401.7368787,401.7368787,0.020224684,111593.6666915286,12.739003046978151,NG_Type
COMANCHE COUNTY,40031,1001069,322130,322130,2015,OK,Paperboard Mills,550-850 C,Paperboard Mills_1001069,800,Natural Gas (Weighted U.S. Average),386.0991253499999,386.0991253499999,0.019437430000000002,107249.84284147233,12.243132744460311,NG_Type
DAKOTA COUNTY,31043,1005683,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005683,450,Natural Gas (Weighted U.S. Average)Landfill Gas,1300.841246,1455.2395944,0.07314757100000001,404233.54405324324,46.14538174123781,NG_TypeNG_Type
DAVISON COUNTY,46035,1006672,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006672,233,Natural Gas (Weighted U.S. Average),611.1871132,611.1871132,0.03076906,169774.3339304696,19.380631727222557,NG_Type
DAVISON COUNTY,46035,1006672,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006672,450,Natural Gas (Weighted U.S. Average),1346.2635059999998,1346.2635059999998,0.067775092,373962.38416966796,42.689769882382194,NG_Type
EDMUNDS,46045,1005353,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1005353,233,Natural Gas (Weighted U.S. Average),1065.889611,1065.889611,0.053660198,296080.684364358,33.79916488177603,NG_Type
EDMUNDS,46045,1005353,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1005353,450,Natural Gas (Weighted U.S. Average),2347.837926,2347.837926,0.118197464,652177.723408428,74.44951180461507,NG_Type
FILLMORE COUNTY,31059,1006694,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006694,233,Natural Gas (Weighted U.S. Average),542.757372,542.757372,0.027324094,150766.057279416,17.210737132353426,NG_Type
FILLMORE COUNTY,31059,1006694,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006694,450,Natural Gas (Weighted U.S. Average),1195.5331301,1195.5331301,0.060186856,332092.8018129178,37.91013719325545,NG_Type
FINNEY,20055,1004091,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004091,233,Natural Gas (Weighted U.S. Average),335.2676185,335.2676185,0.016878415,93129.96853169301,10.631274946540298,NG_Type
FINNEY,20055,1004091,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004091,450,Natural Gas (Weighted U.S. Average),738.4948893999999,738.4948893999999,0.037178129000000004,205137.63338775322,23.417538057962695,NG_Type
FORD,20057,1006037,325311,325311,2015,KS,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1006037,260,Natural Gas (Weighted U.S. Average),1395.1221063,1395.1221063,0.07023478699999999,387534.2284438014,44.239067173949934,NG_Type
FORD,20057,1006037,325311,325311,2015,KS,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1006037,850,Natural Gas (Weighted U.S. Average),2761.772333,2761.772333,0.139036209,767159.5951160741,87.57529624612718,NG_Type
FURNAS COUNTY,31065,1004039,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004039,233,Natural Gas (Weighted U.S. Average),311.3460157,311.3460157,0.015674127,86485.0735491146,9.872725290994818,NG_Type
FURNAS COUNTY,31065,1004039,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004039,450,Natural Gas (Weighted U.S. Average),685.8027103,685.8027103,0.034525442,190500.90526171343,21.746678682844,NG_Type
GAGE,31067,1002962,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002962,233,Natural Gas (Weighted U.S. Average),7.248039425,7.248039425,0.000364889,2013.34589539765,0.22983400632393267,NG_Type
GAGE,31067,1002962,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002962,450,Natural Gas (Weighted U.S. Average),1851.7587270810002,1851.7587270810002,0.093223295,514377.8356911061,58.718931014966444,NG_Type
GAGE COUNTY,31067,1006575,325311,325311,2015,NE,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1006575,260,Natural Gas (Weighted U.S. Average),1082.7964764,1082.7964764,0.054511342000000004,300777.03962143924,34.33527849559809,NG_Type
GAGE COUNTY,31067,1006575,325311,325311,2015,NE,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1006575,850,Natural Gas (Weighted U.S. Average),2143.495065,2143.495065,0.107910209,595415.7721655701,67.96983700520207,NG_Type
GARFIELD,40047,1002407,325311,325311,2015,OK,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1002407,260,Natural Gas (Weighted U.S. Average),4349.938459,4349.938459,0.21898943199999998,1208317.2052641022,137.93575402558244,NG_Type
GARFIELD,40047,1002407,325311,325311,2015,OK,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1002407,850,Natural Gas (Weighted U.S. Average),8611.102664,8611.102664,0.433509692,2391974.8758005924,273.0564926713005,NG_Type
GARVIN,40049,1002310,324110,324110,2015,OK,Petroleum Refineries,100-300 C,Petroleum Refineries_1002310,220,Natural Gas (Weighted U.S. Average)Fuel Gas,278.612876939,7942.774817939,0.4444590500000001,2206328.1033774596,251.86393874171915,NG_TypeFuelGas_Type
GARVIN,40049,1002310,324110,324110,2015,OK,Petroleum Refineries,550-850 C,Petroleum Refineries_1002310,600,Natural Gas (Weighted U.S. Average)Fuel Gas,462.731176718,921.552022218,0.049063512,255986.87762767164,29.222246304528724,NG_TypeFuelGas_Type
GRANT COUNTY,46051,1004713,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004713,233,Natural Gas (Weighted U.S. Average),605.5628804,605.5628804,0.030485919,168212.0457917512,19.202288332391692,NG_Type
GRANT COUNTY,46051,1004713,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004713,450,Natural Gas (Weighted U.S. Average),1333.8749933,1333.8749933,0.06715141599999999,370521.1278888874,42.29693240740724,NG_Type
HALL COUNTY,31079,1002703,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002703,233,Natural Gas (Weighted U.S. Average),822.3717949,822.3717949,0.041400754,228436.79244373224,26.077259411384958,NG_Type
HALL COUNTY,31079,1002703,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002703,450,Natural Gas (Weighted U.S. Average),1811.4405752,1811.4405752,0.091193553,503178.3400979056,57.44044978286594,NG_Type
HAMILTON COUNTY,31081,1003282,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1003282,233,Natural Gas (Weighted U.S. Average),304.3727471,304.3727471,0.015323071,84548.05294394381,9.651604217345184,NG_Type
HAMILTON COUNTY,31081,1003282,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1003282,450,Natural Gas (Weighted U.S. Average),920.6940013000001,920.6940013000001,0.0463506,255748.53829311143,29.19503861793509,NG_Type
HAMILTON COUNTY,31081,1010658,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1010658,233,Natural Gas (Weighted U.S. Average),823.073199,823.073199,0.041436065,228631.62707182203,26.09950080728562,NG_Type
HAMILTON COUNTY,31081,1010658,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1010658,450,Natural Gas (Weighted U.S. Average),1812.9855604,1812.9855604,0.091271332,503607.50299679127,57.48944098136886,NG_Type
HITCHCOCK,31087,1006662,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006662,233,Natural Gas (Weighted U.S. Average),278.7706108,278.7706108,0.01403418,77436.3427268024,8.83976515146146,NG_Type
HITCHCOCK,31087,1006662,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006662,450,Natural Gas (Weighted U.S. Average),614.0487777000001,614.0487777000001,0.030913125,170569.2413719506,19.47137458583911,NG_Type
HOLT COUNTY,31089,1002148,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002148,233,Natural Gas (Weighted U.S. Average),342.8057923,342.8057923,0.01725791,95223.90737350941,10.870309060902901,NG_Type
HOLT COUNTY,31089,1002148,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002148,450,Natural Gas (Weighted U.S. Average),755.0992451,755.0992451,0.038014044999999996,209749.9581053878,23.944059144450662,NG_Type
KAY,40071,1001920,324110,324110,2015,OK,Petroleum Refineries,100-300 C,Petroleum Refineries_1001920,220,Natural Gas (Weighted U.S. Average)Fuel Gas,118.642324802,6497.335045042,0.364211304,1804816.7341416767,206.02930755041973,NG_TypeFuelGas_Type
KAY,40071,1001920,324110,324110,2015,OK,Petroleum Refineries,550-850 C,Petroleum Refineries_1001920,600,Natural Gas (Weighted U.S. Average)Fuel Gas,497.48222137700003,13373.313726295,0.7481741829999999,3714812.340262773,424.06533564643513,NG_TypeFuelGas_Type
KEARNEY,31099,1001677,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1001677,233,Natural Gas (Weighted U.S. Average),346.0374511,346.0374511,0.017420602,96121.5910916558,10.972784371193585,NG_Type
