,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410,212391,325211,325193
6603,10,3,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6604,10,3,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6605,10,3,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6606,10,3,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6607,10,3,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6608,10,3,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6609,10,3,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6610,10,3,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6611,10,3,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6612,10,3,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6613,10,3,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6614,10,3,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6615,10,3,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6616,10,3,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6617,10,3,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6618,10,3,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6619,10,3,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6620,10,3,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6621,10,3,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6622,10,3,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6623,10,3,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6624,10,4,0,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.45266667,1,1,1,1,0.196,0.7350528000000001
6625,10,4,1,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.194,1,1,1,1,0.196,0.7247238
6626,10,4,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6627,10,4,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6628,10,4,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6629,10,4,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6630,10,4,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6631,10,4,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6632,10,4,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6633,10,4,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6634,10,4,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6635,10,4,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6636,10,4,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6637,10,4,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6638,10,4,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6639,10,4,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6640,10,4,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6641,10,4,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6642,10,4,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6643,10,4,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6644,10,4,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6645,10,4,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6646,10,4,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6647,10,4,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6648,10,5,0,1,0.76038814,0.7838531999999999,1,1,0.73333335,0.76886004,0.45266667,1,1,1,1,0.196,0.72947764
6649,10,5,1,1,0.75494653,0.78041154,1,1,0.46666667,0.7580796,0.194,1,1,1,1,0.196,0.71357346
