,0,1,2,3,4,5
0,88.25,0.0,0.0,0.0,0.0,0.0
1,88.25,0.0,0.0,0.0,0.0,0.0
2,88.25,0.0,0.0,0.0,0.0,0.0
3,91.47770176,0.0,0.0,0.0,0.0,0.0
4,97.75,0.0,0.0,0.0,0.0,0.0
5,88.63,0.0,0.0,0.0,0.0,0.0
6,93.0,0.0,0.0,0.0,0.0,0.0
7,93.0,0.0,0.0,0.0,0.0,0.0
8,93.0,0.0,0.0,0.0,0.0,0.0
9,93.0,0.0,0.0,0.0,0.0,0.0
10,93.0,0.0,0.0,0.0,0.0,0.0
11,93.0,0.0,0.0,0.0,0.0,0.0
12,93.0,0.0,0.0,0.0,0.0,0.0
13,93.0,0.0,0.0,0.0,0.0,0.0
14,93.0,0.0,0.0,0.0,0.0,0.0
15,94.95539609992817,0.0,0.0,0.0,0.0,0.0
16,97.75,0.0,0.0,0.0,0.0,0.0
17,97.75,0.0,0.0,0.0,0.0,0.0
18,88.25,0.0,0.0,0.0,0.0,0.0
19,88.25,0.0,0.0,0.0,0.0,0.0
20,93.0,0.0,0.0,0.0,0.0,0.0
21,93.0,0.0,0.0,0.0,0.0,0.0
22,93.0,0.0,0.0,0.0,0.0,0.0
23,93.0,0.0,0.0,0.0,0.0,0.0
24,93.0,0.0,0.0,0.0,0.0,0.0
25,93.0,0.0,0.0,0.0,0.0,0.0
26,93.0,0.0,0.0,0.0,0.0,0.0
27,93.0,0.0,0.0,0.0,0.0,0.0
28,97.75,0.0,0.0,0.0,0.0,0.0
29,97.75,0.0,0.0,0.0,0.0,0.0
30,95.3846472589792,0.0,0.0,0.0,0.0,0.0
31,88.25,0.0,0.0,0.0,0.0,0.0
32,88.25,0.0,0.0,0.0,0.0,0.0
33,93.0,0.0,0.0,0.0,0.0,0.0
34,93.0,0.0,0.0,0.0,0.0,0.0
35,93.0,0.0,0.0,0.0,0.0,0.0
36,93.0,0.0,0.0,0.0,0.0,0.0
37,93.0,0.0,0.0,0.0,0.0,0.0
38,93.0,0.0,0.0,0.0,0.0,0.0
39,94.95539609992817,0.0,0.0,0.0,0.0,0.0
40,97.75,0.0,0.0,0.0,0.0,0.0
41,97.75,0.0,0.0,0.0,0.0,0.0
42,88.25,0.0,0.0,0.0,0.0,0.0
43,88.25,0.0,0.0,0.0,0.0,0.0
44,93.0,0.0,0.0,0.0,0.0,0.0
45,93.0,0.0,0.0,0.0,0.0,0.0
46,93.0,0.0,0.0,0.0,0.0,0.0
47,93.0,0.0,0.0,0.0,0.0,0.0
48,97.75,0.0,0.0,0.0,0.0,0.0
49,88.63,0.0,0.0,0.0,0.0,0.0
50,93.0,0.0,0.0,0.0,0.0,0.0
51,93.0,0.0,0.0,0.0,0.0,0.0
52,97.75,0.0,0.0,0.0,0.0,0.0
53,97.75,0.0,0.0,0.0,0.0,0.0
54,95.3846472589792,0.0,0.0,0.0,0.0,0.0
55,88.25,0.0,0.0,0.0,0.0,0.0
56,88.25,0.0,0.0,0.0,0.0,0.0
57,93.0,0.0,0.0,0.0,0.0,0.0
58,93.0,0.0,0.0,0.0,0.0,0.0
59,93.0,0.0,0.0,0.0,0.0,0.0
60,93.0,0.0,0.0,0.0,0.0,0.0
61,93.0,0.0,0.0,0.0,0.0,0.0
62,93.0,0.0,0.0,0.0,0.0,0.0
63,94.95539609992817,0.0,0.0,0.0,0.0,0.0
64,97.75,0.0,0.0,0.0,0.0,0.0
65,97.75,0.0,0.0,0.0,0.0,0.0
66,88.25,0.0,0.0,0.0,0.0,0.0
67,88.25,0.0,0.0,0.0,0.0,0.0
68,93.0,0.0,0.0,0.0,0.0,0.0
69,93.0,0.0,0.0,0.0,0.0,0.0
70,93.0,0.0,0.0,0.0,0.0,0.0
71,93.0,0.0,0.0,0.0,0.0,0.0
72,93.0,0.0,0.0,0.0,0.0,0.0
73,93.0,0.0,0.0,0.0,0.0,0.0
74,93.0,0.0,0.0,0.0,0.0,0.0
75,97.75,0.0,0.0,0.0,0.0,0.0
76,97.75,0.0,0.0,0.0,0.0,0.0
77,97.75,0.0,0.0,0.0,0.0,0.0
78,91.6858792589792,0.0,0.0,0.0,0.0,0.0
79,88.25,0.0,0.0,0.0,0.0,0.0
80,88.25,0.0,0.0,0.0,0.0,0.0
81,93.0,0.0,0.0,0.0,0.0,0.0
82,93.0,0.0,0.0,0.0,0.0,0.0
83,93.0,0.0,0.0,0.0,0.0,0.0
84,93.0,0.0,0.0,0.0,0.0,0.0
85,93.0,0.0,0.0,0.0,0.0,0.0
86,93.0,0.0,0.0,0.0,0.0,0.0
87,94.95539609992817,0.0,0.0,0.0,0.0,0.0
88,97.75,0.0,0.0,0.0,0.0,0.0
89,97.75,0.0,0.0,0.0,0.0,0.0
90,88.25,0.0,0.0,0.0,0.0,0.0
91,88.25,0.0,0.0,0.0,0.0,0.0
92,93.0,0.0,0.0,0.0,0.0,0.0
93,93.0,0.0,0.0,0.0,0.0,0.0
94,93.0,0.0,0.0,0.0,0.0,0.0
95,93.0,0.0,0.0,0.0,0.0,0.0
96,97.75,0.0,0.0,0.0,0.0,0.0
97,88.63,0.0,0.0,0.0,0.0,0.0
98,93.0,0.0,0.0,0.0,0.0,0.0
99,88.25,0.0,0.0,0.0,0.0,0.0
