,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
0,RENO COUNTY,20155,1004961,322130,Natural Gas (Weighted U.S. Average),322130,2015,KS,200,Paperboard Mills,Paperboard Mills_1004961,38.09926279,38.09926279,0.001918035,10583.13701928062,1.2081206643014408,NG_Type
0,RENO COUNTY,20155,1004961,322130,Natural Gas (Weighted U.S. Average),322130,2015,KS,505,Paperboard Mills,Paperboard Mills_1004961,176.4926835,176.4926835,0.008885191,49025.784637263,5.596550757678425,NG_Type
0,RENO COUNTY,20155,1004961,322130,Natural Gas (Weighted U.S. Average),322130,2015,KS,800,Paperboard Mills,Paperboard Mills_1004961,132.437121,132.437121,0.006667296999999999,36788.118597138,4.199556917481506,NG_Type
0,MUSKOGEE COUNTY,40101,1001913,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,800,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1001913",626.091878916,626.091878916,0.031519413,173914.54994152868,19.853259125745282,NG_Type
0,MUSKOGEE COUNTY,40101,1001913,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,275,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1001913",47.239632998000005,47.239632998000005,0.0023781450000000003,13122.130774918445,1.4979601341231101,NG_Type
0,MUSKOGEE COUNTY,40101,1001913,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,200,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1001913",110.60433303900001,110.60433303900001,0.005568133,30723.450422907343,3.507243198962026,NG_Type
0,MUSKOGEE COUNTY,40101,1001913,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,505,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1001913",512.3683271049999,512.3683271049999,0.025794215,142324.6491665727,16.247106069243458,NG_Type
0,MAYES,40097,1006813,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,800,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006813",254.2118976,254.2118976,0.012797818,70614.4724915328,8.061012841499178,NG_Type
0,MAYES,40097,1006813,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,275,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006813",19.180694,19.180694,0.0009656160000000001,5327.974817932,0.608216303416895,NG_Type
0,MAYES,40097,1006813,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,200,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006813",44.90864413,44.90864413,0.002260841,12474.633349143141,1.4240449028702216,NG_Type
